Radius	Temperature
0.902248	70.6947
0.903226	70.0332
0.904203	69.371
0.905181	68.7081
0.906158	68.0445
0.907136	67.3801
0.908113	66.7151
0.909091	66.0493
0.910068	65.3828
0.911046	64.7156
0.912023	64.0477
0.913001	63.3791
0.913978	62.7097
0.914956	62.0396
0.915934	61.3688
0.916911	60.6973
0.917889	60.0251
0.918866	59.3522
0.919844	58.6785
0.920821	58.0042
0.921799	57.3291
0.922776	56.6533
0.923754	55.9767
0.924731	55.2995
0.925709	54.6215
0.926686	53.9429
0.927664	53.2635
0.928641	52.5834
0.929619	51.9026
0.930596	51.221
0.931574	50.5388
0.932551	49.8558
0.933529	49.1721
0.934506	48.4877
0.935484	47.8026
0.936461	47.1167
0.937439	46.4302
0.938416	45.7429
0.939394	45.0549
0.940371	44.3662
0.941349	43.6768
0.942326	42.9867
0.943304	42.2958
0.944282	41.6042
0.945259	40.9119
0.946237	40.2189
0.947214	39.5252
0.948192	38.8308
0.949169	38.1356
0.950147	37.4397
0.951124	36.7432
0.952102	36.0459
0.953079	35.3478
0.954057	34.6491
0.955034	33.9496
0.956012	33.2495
0.956989	32.5486
0.957967	31.847
0.958944	31.1446
0.959922	30.4416
0.960899	29.7379
0.961877	29.0334
0.962854	28.3282
0.963832	27.6223
0.964809	26.9157
0.965787	26.2083
0.966764	25.5003
0.967742	24.7915
0.968719	24.082
0.969697	23.3718
0.970674	22.6609
0.971652	21.9493
0.97263	21.2369
0.973607	20.5238
0.974585	19.81
0.975562	19.0955
0.97654	18.3803
0.977517	17.6644
0.978495	16.9477
0.979472	16.2303
0.98045	15.5123
0.981427	14.7935
0.982405	14.0739
0.983382	13.3537
0.98436	12.6327
0.985337	11.9111
0.986315	11.1887
0.987292	10.4656
0.98827	9.74175
0.989247	9.01722
0.990225	8.29196
0.991202	7.56599
0.99218	6.8393
0.993157	6.1119
0.994135	5.38378
0.995112	4.65494
0.99609	3.92538
0.997067	3.19511
0.998045	2.46413
0.999022	1.73242
1	1
